,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101
20,0.019792102,0.037240393,0.055402909,0.07479968,0.114427805,0.178443706,0.266007268,0.358799074,0.450517901,0.539817698,0.622231303,0.696464626,0.764680662,0.830741435,0.8905926,0.947773276,0.983647541,0.999755621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.019916823,0.032056445,0.046418797,0.061047043,0.096411557,0.156222247,0.226866912,0.310633218,0.404013028,0.479937543,0.569065671,0.646966638,0.712003928,0.785545046,0.846372123,0.906798387,0.960469005,0.987368605,0.998686087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.014196677,0.023788049,0.032929951,0.044817389,0.075705051,0.120963663,0.194028698,0.279189454,0.362565965,0.444141322,0.527174292,0.609518324,0.68403714,0.751755993,0.813873883,0.87661948,0.9269318,0.967844642,0.99068338,0.999488753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.013929231,0.021336016,0.03057361,0.041363792,0.065447605,0.115382244,0.178929058,0.250715289,0.32480731,0.410608605,0.495270419,0.568516934,0.637641326,0.707179919,0.773213384,0.831201607,0.888046632,0.939244927,0.971941313,0.992970321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0.013950263,0.022234304,0.025293998,0.034225438,0.058386138,0.095495255,0.141858154,0.202826562,0.271401599,0.351844491,0.436646202,0.516597727,0.595762037,0.659025667,0.725451813,0.785567621,0.846508141,0.90016842,0.945404803,0.976542449,0.995725844,0.999451153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.009145638,0.013514037,0.019033588,0.026824425,0.043597782,0.08101845,0.123432265,0.185098695,0.249610066,0.33428333,0.419238148,0.504585926,0.572908173,0.639166743,0.689803933,0.748602576,0.802039252,0.85393555,0.900709238,0.948231974,0.978984705,0.993867119,0.999421296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.009359702,0.013230341,0.018566655,0.023702094,0.04161548,0.071294649,0.110703663,0.165517988,0.2325786,0.307834437,0.379157259,0.454956054,0.527708552,0.587699229,0.649516145,0.713725575,0.77116689,0.817533384,0.872851605,0.927558207,0.960227762,0.982960784,0.996619981,0.999597424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.010768852,0.017017637,0.021522521,0.025253005,0.039030435,0.067505864,0.102711654,0.148977655,0.200069054,0.260998062,0.333441671,0.410703111,0.485202835,0.560906663,0.62507224,0.684700409,0.742166255,0.794212719,0.836145887,0.884108903,0.927678978,0.966390551,0.98623823,0.997687518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.008422982,0.010749441,0.011938418,0.016168003,0.03265888,0.056100162,0.08766051,0.130981026,0.185165071,0.245431896,0.321069149,0.397654097,0.46850526,0.526927306,0.599279982,0.658174375,0.712557229,0.758488409,0.819001484,0.862680415,0.897453883,0.937068616,0.966413146,0.983930699,0.997089791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.011623101,0.014494734,0.019370569,0.023135159,0.037446042,0.058760844,0.092839753,0.133512903,0.176759031,0.229372941,0.292177849,0.353183846,0.426559871,0.490525283,0.557338435,0.617990463,0.66518076,0.72456127,0.771940982,0.819879821,0.863541651,0.906595432,0.943779828,0.973856359,0.991391599,0.996190546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
