,PEMEL_Max,PEMEL_Min,PEMEL_Mean,Siemens_1bar,Siemens_100bar,Siemens _50bar,Proton,Proton_Advanced,Giner_70bar_58C,Giner_7bar_42C,Giner_7bar_58C,Giner_70 bar_42C,CETH2,Helion_50C,Helion_60C,Helion_70C,Helion_70C_15bar,Giner,Hydrogenics,Proton,ITM_ELECTROHYPEM,AREVA,Siemens,Labor_dÅnne_Membran_80,Labor_dÅnne_Membran_50,AEL_Max,AEL_Min,AEL_Mean,Elwatec_FZ_JÅlich,DLR,FZ_JÅlic_ HPEL,Lurgi,GHW,Metkon_Alyzer_50,Metkon_Alyzer_60,Metkon_Alyzer_Hysolar_80,GHW,Stuart_Energy,FZ_JÅlich_Phoebus_80,FZ_JÅlich_Phoebus_50,Casale_Chemicals,Wasserelektrolyse_Hydrotechnik,RESelyzer,Hydrogenics,GHW
,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL
0.18,89.39244507,59.61753774,73.24640725,59.61753774,65.23398767,59.39558099,71.377612,79.61622174,73.09426481,73.76179825,75.50482908,71.3945762,77.08582383,72.20143234,74.2096524,75.58275321,76.78388295,79.01085419,89.39244507,71.39150113,77.27911092,75.57275196,68.86148917,78.35032318,57.99637012,87.13156045,67.32350913,77.07851739,78.23206394,81.11112418,83.78958627,82.78103796,78.06618514,66.87099622,69.2899169,71.87352928,78.10666014,76.99981591,80.98724215,74.68592321,73.81051747,67.32350913,81.10418048,87.13156045,78.1709468
0.19,89.16823773,59.09224766,72.90805043,59.09224766,64.81590341,58.87128056,71.00978675,79.40967442,72.70782119,73.40788199,75.18374432,70.99228072,76.84296358,71.86866396,73.87616824,75.29703901,76.45608865,78.81336304,89.16823773,71.12765195,77.10059181,75.28971837,68.17481583,78.0800995,57.5004743,86.92025514,66.94996043,76.7904976,77.97319837,80.91507289,83.56958526,82.6411453,77.68717911,66.58999025,69.0013281,71.55840896,77.73925824,76.66163294,80.68095462,74.40958077,73.51731488,66.94996043,80.88104464,86.92025514,77.74254926
0.2,88.8559101,58.615507,72.58154839,58.615507,64.41518141,58.38034833,70.66114816,79.20329266,72.33327384,73.05338423,74.87134106,70.59725802,76.64909069,71.53877768,73.54622243,75.01650384,76.13615036,78.6218275,88.8559101,70.86003793,76.92218766,75.01397825,67.60036222,77.82019463,57.02538685,86.69651816,66.60247483,76.51313343,77.7230826,80.72914918,83.35017115,82.50124441,77.32112191,66.3215985,68.74361165,71.26257281,77.3873827,76.32080437,80.38741674,74.14425987,73.23894072,66.60247483,80.65787818,86.69651816,77.33504052
0.21,88.48633356,58.15426422,72.26425097,58.15426422,63.99848217,57.9155488,70.3467481,78.99805959,71.97004733,72.69926626,74.56677414,70.2094447,76.46847012,71.21366067,73.22156718,74.74016805,75.83030634,78.43672844,88.48633356,70.58923457,76.7443115,74.74513489,67.1292739,77.56973216,56.57023907,86.46263405,66.27934808,76.24664119,77.48065018,80.55280624,83.13172603,82.36133769,76.96927219,66.06602493,68.51268929,70.98539939,77.04855917,75.98745842,80.10582113,73.88989238,72.97394707,66.27934808,80.43493718,86.46263405,76.9503968
0.22,88.14827736,57.70476118,71.95778484,57.70476118,63.59567922,57.46545946,70.03275041,78.79791923,71.61756623,72.34648938,74.26919839,69.82877733,76.26536684,70.89520012,72.90395465,74.467052,75.54479385,78.25793975,88.14827736,70.31581735,76.56737632,74.48279157,66.75269649,77.32783569,56.13416225,86.22088731,65.97887593,75.99066119,77.24483636,80.38549726,82.91463201,82.22142754,76.63132335,65.82282606,68.30063471,70.72225386,76.72259976,75.67172334,79.83516079,73.64558887,72.72107305,65.97887593,80.21247773,86.22088731,76.58942228
0.23,87.88022807,57.27575704,71.66575472,57.27575704,63.23390625,57.03422577,69.75684322,78.60809606,71.27525509,71.99601488,73.97776864,69.45519252,76.00562849,70.58521526,72.59513703,74.19617603,75.28288388,78.08511246,87.88022807,70.04036176,76.39179515,74.22655155,66.46177556,77.0936288,55.71628768,85.97356247,65.69935412,75.74425216,77.0148592,80.22667544,82.69927116,82.08151636,76.30589588,65.59153516,68.0942559,70.46756373,76.4098778,75.38290134,79.57436779,73.41018798,72.47913652,65.69935412,79.99075591,85.97356247,76.25057002
0.24,87.6661267,56.84600559,71.37889317,56.84600559,62.86743237,56.61601056,69.4041392,78.4294806,70.94253849,71.64880405,73.69163972,69.08862685,75.68581222,70.28419311,72.2966817,73.92656051,75.03836509,77.91789729,87.6661267,69.76344328,76.21798099,73.97601813,66.2476567,76.8662351,55.31574666,85.72294403,65.4390784,75.50605015,76.79053085,80.07579394,82.48602558,81.94160656,75.99158934,65.37152512,67.87998076,70.21636931,76.11076655,75.122375,79.32242206,73.18258918,72.24721583,65.4390784,79.7700278,85.72294403,75.9320122
0.25,87.4735737,56.43460218,71.10212958,56.43460218,62.50796367,56.20972121,69.09808256,78.25958016,70.61884099,71.30581819,73.40996646,68.72901691,75.3303205,69.99140501,72.00834898,73.65724154,74.80313537,77.75594495,87.4735737,69.48563741,76.04634685,73.73080738,66.10148551,76.64477817,54.93167049,85.47131652,65.19634453,75.27485569,76.57173847,79.93230597,82.27527738,81.80170053,75.68700328,65.16109647,67.64691168,69.9691226,75.8249023,74.88711751,79.07863042,72.96214556,72.02446304,65.19634453,79.55054948,85.47131652,75.63192103
0.26,87.25243916,56.03556431,70.83341791,56.03556431,62.17478089,55.81638604,68.82031738,78.09877959,70.30358714,70.96801859,73.1319037,68.37629929,74.96456395,69.70607774,71.72887723,73.38810838,74.56909264,77.59890615,87.25243916,69.20751963,75.87730575,73.49063471,66.01440757,76.42838162,54.56319046,85.22096445,64.96944824,75.05044102,76.35836918,79.79566471,82.06740864,81.66180067,75.39073724,64.95810998,67.40041853,69.72909573,75.54938412,74.67405442,78.84243626,72.74841456,71.8101449,64.96944824,79.33257703,85.22096445,75.34846868
0.27,86.98896945,55.63732552,70.56939637,55.63732552,61.84654357,55.42815385,68.52286607,77.95405123,69.99620153,70.63636655,72.85660628,68.03041058,74.61395314,69.42743808,71.45699321,73.1203223,74.32913275,77.4464316,86.98896945,68.92966542,75.71127071,73.25526206,65.97756847,76.21616902,54.20943786,84.97417234,64.75668529,74.83291334,76.15031014,79.66532335,81.86280145,81.52190938,75.10139077,64.76042933,67.15198768,69.49958514,75.2807654,74.48011131,78.61328984,72.54095659,71.60361485,64.75668529,79.11636654,84.97417234,75.07982736
